,Intro.1.player.prolific_id,Section_1.1.player.question1,Section_1.1.player.question2,Section_1.1.player.question3,Section_1.1.player.question4,Section_1.1.player.question5,Section_1.1.player.question6,Section_1.1.player.question7,Section_1.1.player.question8,Section_1.1.player.question9,Section_1.1.player.question10,Section_1.1.player.stem_quiz_1_answers,Section_1.1.player.stem_quiz_1_score,Section_1.1.player.num_tab_switches_in_section_1,Section_1.1.player.total_time_hidden_in_section_1,Section_2_3.1.player.track,Section_2_3.1.player.path,Section_2_3.1.player.info_structure,Section_2_3.1.player.performance,Section_2_3.1.player.ball_color,Section_2_3.1.player.overplacement,Section_2_3.1.player.overestimation,Section_2_3.1.player.passing_threshold,Section_2_3.1.player.ball_origin_estimation,Section_4_5.1.player.question1,Section_4_5.1.player.question2,Section_4_5.1.player.question3,Section_4_5.1.player.question4,Section_4_5.1.player.question5,Section_4_5.1.player.question6,Section_4_5.1.player.question7,Section_4_5.1.player.question8,Section_4_5.1.player.question9,Section_4_5.1.player.question10,Section_4_5.1.player.quiz_2_answers,Section_4_5.1.player.quiz_2_score,Section_4_5.1.player.preferred_second_survey,Section_4_5.1.player.num_tab_switches_in_section_5,Section_4_5.1.player.total_time_hidden_in_section_5,Section_6.1.player.question1,Section_6.1.player.question2,Section_6.1.player.question3,Section_6.1.player.question4,Section_6.1.player.question5,Section_6.1.player.question6,Section_6.1.player.question7,Section_6.1.player.question8,Section_6.1.player.question9,Section_6.1.player.question10,Section_6.1.player.question11,Section_6.1.player.risk_tolerance_answers,Section_7.1.player.schools_private_independent,Section_7.1.player.schools_private_religious,Section_7.1.player.schools_public_school,Section_7.1.player.schools_homeschool,Section_7.1.player.schools_online_school,Section_7.1.player.schools_charter_school,Section_7.1.player.schools_all_girls_school,Section_7.1.player.schools_all_boys_school,Section_7.1.player.schools_stem_oriented_school,Section_7.1.player.track_decision,Section_7.1.player.experience,Section_7.1.player.preferred_second_survey,Time taken,Total approvals,Ethnicity,Highest education level completed,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
0,5c8541b79c5a3000016b2597,D,D,C,B,C,A,C,B,C,D,DDCBCACBCD,0.3,0.0,0.0,noisy,random,positive,Fail,red,50.0,3.0,5.0,Fail Box,D,B,A,C,B,D,A,B,C,D,DBACBDABCD,1.0,Non-STEM Track,0.0,0.0,R,R,R,C,C,C,C,C,C,C,C,RRRCCCCCCCC,0,0,1,0,0,0,0,0,0,Much easier,,Non-STEM Track,413.0,6058,White,Undergraduate degree (BA/BSc/other),51,Male,White,Germany,United States,United States,English,No,Full-Time
1,652a68b774692c0a5cceba01,D,A,B,C,D,B,C,A,B,B,DABCDBCABB,0.3,0.0,0.0,noisy,random,positive,Fail,red,25.0,3.0,4.0,Fail Box,D,B,A,C,B,D,A,B,C,D,DBACBDABCD,1.0,Non-STEM Track,0.0,0.0,R,R,R,R,R,R,R,C,C,C,C,RRRRRRRCCCC,0,0,1,0,0,0,0,0,0,"I have not taken math since I was 16 years old, and the first quiz confirmed I am absolutely not a mathematician. I love reading and writing, so gravitate towards non-STEM disciplines. ","I am worse at math than I remembered, that's for sure! But, it was fun to try to force my brain to try to remember how to work it out.",Non-STEM Track,870.0,138,White,Graduate degree (MA/MSc/MPhil/other),27,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
2,5d8a65fe43543b0001a33e4b,B,C,A,C,B,A,C,A,D,A,BCACBACADA,0.1,0.0,0.0,noisy,random,positive,Fail,red,25.0,3.0,2.0,Fail Box,D,B,A,C,B,D,A,B,C,D,DBACBDABCD,1.0,Non-STEM Track,0.0,0.0,R,R,R,C,C,C,C,C,C,C,C,RRRCCCCCCCC,0,0,1,0,0,0,0,0,0,"I don't have a strong stem background, so I hoped that I would perform better in an alternate task.",Fun! ,Non-STEM Track,770.0,424,White,Undergraduate degree (BA/BSc/other),48,Female,White,United States,United States,United States,English,No,Part-Time
3,66f45672aa769deaf0cc6417,D,D,D,C,B,B,A,D,C,B,DDDCBBADCB,0.4,0.0,0.0,noisy,random,positive,Pass,red,10.0,0.0,0.0,Pass Box,D,D,A,C,B,D,A,B,C,D,DDACBDABCD,0.9,Non-STEM Track,0.0,0.0,R,R,R,R,R,C,C,C,C,C,C,RRRRRCCCCCC,0,0,1,0,0,0,0,0,0,I chose the non-stem track because I do not perform well regarding stem related tasks. Stem is not a strong suit of mine.,My experience was great! I think the study went smoothly!,Non-STEM Track,901.0,3,White,Undergraduate degree (BA/BSc/other),22,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
4,66e2e4974bf2eb1a77116882,D,A,D,B,D,B,D,C,A,B,DADBDBDCAB,0.6,0.0,0.0,noisy,random,positive,Pass,red,0.0,6.0,4.0,Pass Box,B,A,C,A,C,D,C,A,B,A,BACACDCABA,0.8,STEM Track,0.0,0.0,R,R,C,C,C,C,C,C,C,C,C,RRCCCCCCCCC,1,0,1,0,0,0,0,0,0,I am good at it since my school days.,,STEM Track,1206.0,5,Black/African American,Undergraduate degree (BA/BSc/other),27,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
5,66e53659bbbd7070ab7a6a3b,B,B,B,C,D,A,C,C,A,D,BBBCDACCAD,0.1,0.0,0.0,noisy,random,positive,Fail,red,20.0,4.0,2.0,Pass Box,D,B,A,B,B,D,B,B,C,D,DBABBDBBCD,0.8,Non-STEM Track,0.0,0.0,R,C,C,C,C,R,C,R,C,R,R,RCCCCRCRCRR,0,1,0,0,0,0,0,0,0,It was more flexible,,Non-STEM Track,984.0,16,White,Graduate degree (MA/MSc/MPhil/other),47,Female,Other,United States,United States,United States,English,Yes,Full-Time
6,66f46179fa81f408915abaaa,B,A,A,C,A,A,A,C,B,B,BAACAAACBB,0.3,0.0,0.0,noisy,random,ground,Pass,red,50.0,1.0,3.0,Pass Box,D,B,A,C,B,D,A,B,C,D,DBACBDABCD,1.0,Non-STEM Track,0.0,0.0,R,R,R,R,R,C,C,C,C,C,C,RRRRRCCCCCC,0,0,1,0,0,0,0,0,0,I feel that I am better at non-STEM questions.,Great experience!,Non-STEM Track,532.0,0,White,High school diploma/A-levels,33,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
7,66720b609998ec67e708dfb0,A,D,B,B,D,A,A,C,B,D,ADBBDAACBD,0.3,1.0,5.042,noisy,random,negative,Pass,red,10.0,1.0,1.0,Fail Box,D,B,A,C,B,D,A,B,C,D,DBACBDABCD,1.0,Non-STEM Track,0.0,0.0,R,R,R,R,C,C,C,C,C,C,C,RRRRCCCCCCC,0,0,1,0,0,0,0,0,0,im not a math girly ,it was fine,Non-STEM Track,412.0,448,White,High school diploma/A-levels,32,Female,White,United States,United States,United States,English,No,Part-Time
8,66d5bccce3bc16e181051a0d,B,C,A,C,C,C,C,C,C,C,BCACCCCCCC,0.2,0.0,0.0,noisy,random,ground,Pass,red,0.0,0.0,0.0,Pass Box,C,B,C,C,C,D,C,C,B,B,CBCCCDCCBB,0.4,STEM Track,0.0,0.0,R,R,R,R,R,C,C,C,C,C,C,RRRRRCCCCCC,0,0,1,0,0,0,0,0,0,do not really know,It was stressful. ,STEM Track,610.0,5,White Sephardic Jew,Undergraduate degree (BA/BSc/other),63,Female,White,United States,United States,United States,English,No,Part-Time
9,600fbe707a1fdb1a423f1cda,D,C,C,C,C,C,C,B,A,D,DCCCCCCBAD,0.1,0.0,0.0,noisy,random,ground,Pass,red,20.0,2.0,1.0,Pass Box,D,B,A,C,B,D,A,B,C,D,DBACBDABCD,1.0,Non-STEM Track,0.0,0.0,R,R,R,R,R,R,C,C,C,C,C,RRRRRRCCCCC,0,0,1,0,0,0,0,0,0,"I am better versed in literature, language, and the arts.",Its been so long since I've had to do math problems that I felt out of my element in that area.,Non-STEM Track,858.0,6,Other (please feel free to let us know your ethnicity via email),Technical/community college,30,Male,Mixed,United States,United States,United States,English,No,Part-Time
